Project Number,Due Date,Start Date,Client Due Date,Address 1,Address 2,City,State,ZIP,Info,Status,Field Status,Client Status,Tasks,Assigned To,Coordinator,Client Code,Reference,Description,Src. Project Provider,Src. Project ID,Src. Project Number,Options
TX122917-113,1/1/2018 0:00,,1/1/2018 0:00,404 HODGE STREET,,SULPHUR SPRINGS,TX,75482,4004635042,Complete,Complete,Fannie Mae,"[{""serviceName"":""FNMA Property Inspection"",""survey"":"""",""instructions"":""Victor Dudley | 903-563-3783 | dudleydoright47@gmail.com"",""options"":null}]",BattsJJ,,,FNMA Property Inspection,,,,,
1228-165512,1/2/2018 23:00,,1/2/2018 23:00,503 E Fowler St,,Savoy,TX,75479,LB: 0207,Complete,Complete,Fannie Mae,"[{""serviceName"":""_BID ONLY_ Pool Tarp"",""survey"":null,""instructions"":""Please provide an estimate with photos to install a new pool tarp cover for this property"",""options"":null}]",Marcuspotter,,,*BID ONLY* Pool Tarp,,,,,
1228-165512__1,1/2/2018 23:00,,1/2/2018 23:00,503 E Fowler St,,Savoy,TX,75479,LB: 0207,Complete,Complete,Fannie Mae,"[{""serviceName"":""Clear Boarding - Lg 101-125 UI"",""survey"":"""",""instructions"":""Need to install a new piece of clear board where the window is boarded"",""options"":null}]",Marcuspotter,,,Clear Boarding - Lg 101-125 UI,$20.00 ,,,,
102-115601__1,1/3/2018 23:00,,1/3/2018 23:00,8400 Sunset Cove Dr,,Fort Worth,TX,76179,LB: 0828,Complete,Complete,Fannie Mae,"[{""serviceName"":""Plumbing Emergency Repair"",""survey"":"""",""instructions"":""Per our conversation there is a leak under the sink, please repair and then de-winterize the home."",""options"":null}]",Lorenlowe,,,Plumbing Emergency Repair,NTE $250,,,,
103-155039,1/3/2018 23:00,,1/3/2018 23:00,1203 S Florida St,,Amarillo,TX,79102,LB: 7263,Complete,Complete,Fannie Mae,"[{""serviceName"":""Plumbing Emergency Repair"",""survey"":null,""instructions"":""Per our conversation there is a water leak at the property, city is on the way to turn off the 2nd meter. Please assess the damges and repair any leaks you are able to without cutting into the home or ground"",""options"":null}]",rickieortiz,,,Plumbing Emergency Repair,NTE $250.00,,,,
TX122917-109,1/6/2018 0:00,,1/6/2018 0:00,1802 Barna Road,,Wichita Falls,TX,76302,LB: 1681,Complete,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Int_ Periodic Clean"",""survey"":null,""instructions"":null,""options"":null}]",Clintg,,,(Ongoing Int) Periodic Clean,$30.00 ,,,,
TX122917-111__1,1/6/2018 0:00,,1/6/2018 0:00,3107 Boettcher Dr,,Kilgore,TX,75662,LB: 6924,Complete,Complete,Fannie Mae,"[{""serviceName"":""Fence Repair - Wood_Chain Link"",""survey"":null,""instructions"":""Back fence is damaged and needs to be repaired - please provide LF when submitting your notes"",""options"":null}]",Jenniferh,,,Fence Repair - Wood/Chain Link,,,,,
TX122917-111__3,1/6/2018 0:00,,1/6/2018 0:00,3107 Boettcher Dr,,Kilgore,TX,75662,LB: 6924,Complete,Complete,Fannie Mae,"[{""serviceName"":""Emergency Repair_Service"",""survey"":null,""instructions"":""3.Outbuilding door unsecure\n4.Trip hazard in lawn (fill dirt needed)\n8.Tack strips exposed"",""options"":null}]",Jenniferh,,,Emergency Repair/Service,NTE $250,,,,
OK010518-88,1/8/2018 0:00,,1/8/2018 0:00,12101 Crystal Gardens Pl,,Oklahoma City,OK,73170,LB: 0873,Complete,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Int_ Periodic Clean"",""survey"":null,""instructions"":null,""options"":null}]",Clintg,,,(Ongoing Int) Periodic Clean,$30.00 ,,,,
104-105822,1/8/2018 23:00,,1/8/2018 23:00,120 County Road 2118,,Longview,TX,75603,LB: 4457,Complete,Complete,Fannie Mae,"[{""serviceName"":""Fence Repair - Wood_Chain Link"",""survey"":null,""instructions"":""The chain link fence needs to be repaired please"",""options"":null}]",Garycarter,,,Fence Repair - Wood/Chain Link,,,,,
104-140656,1/8/2018 23:00,,1/8/2018 23:00,"5226 Catskills Dr,",,Wichita Falls,TX,76310,LB: 9064,Complete,Complete,Fannie Mae,"[{""serviceName"":""Exterior Door Replacement"",""survey"":"""",""instructions"":""Need to install a new back door, it is damaged and has a padlock and hasp. *Please note this work order will not be paid until the door armor is installed and complete *"",""options"":null}]",Clintg,,,Exterior Door Replacement,,,,,
104-140656__2,1/8/2018 23:00,,1/8/2018 23:00,"5226 Catskills Dr,",,Wichita Falls,TX,76310,LB: 9064,Complete,Complete,Fannie Mae,"[{""serviceName"":""FNMA Property Inspection"",""survey"":null,""instructions"":"""",""options"":null}]",Clintg,,,FNMA Property Inspection,,,,,
105-164737__1,1/9/2018 23:00,,1/9/2018 23:00,"717 Ochiltree St,",,Daingerfield,TX,75638,LB: 8564,Complete,Complete,Fannie Mae,"[{""serviceName"":""Initial Trash Removal"",""survey"":""PI10Trashout-v1"",""instructions"":""First 15 CY = $250 then $15 per CY after 15 CY\n Debris - not a lot of debris, medium size trash removal, please remove the old storm door that doesnt have a window and is damged"",""options"":null}]",TeddyBrabham,,,Initial Trash Removal,,,,,
105-164737__8,1/9/2018 23:00,,1/9/2018 23:00,"717 Ochiltree St,",,Daingerfield,TX,75638,LB: 8564,Complete,Complete,Fannie Mae,"[{""serviceName"":""Window Reglaze - Up to 36x36"",""survey"":null,""instructions"":""Please install a new window in the bedroom where it is cracked - photos must show tape measurements"",""options"":null}]",TeddyBrabham,,,Window Reglaze - Up to 36x36,NTE $75.00,,,,
OK010518-78__1,1/10/2018 0:00,,1/10/2018 0:00,28 COUNTRY CREEK DRIVE,,MCLOUD,OK,74851,LB: 6417,Complete,Complete,Fannie Mae,"[{""serviceName"":""Preventive Boarding-Security Door"",""survey"":null,""instructions"":"""",""options"":null}]",robertnelson,,,Preventive Boarding-Security Door,,,,,
OK122217-55__1,1/10/2018 0:00,,1/10/2018 0:00,18313 N County Rd 3015,,Lindsay,OK,73052,LB: 3658,Complete,Complete,Fannie Mae,"[{""serviceName"":""Door Replacement"",""survey"":"""",""instructions"":"""",""options"":null}]",robertnelson,,,Door Replacement,,,,,
