Item,Description,Vendor Price,,Customer Price,U/M
Abatement Items,,0.00,,0.00,
Abatement Items:City of Plano - Oversized Lot,,0.00,,0.00,
Abatement Items:City of Plano - Oversized Lot:Oversized Lot - Alley/Easment,"Alley and/or Easement of Oversized Lot - Mowing, edging and trimming the alley and/or easement of an oversized lot 21,780 sq ft (.50 acre) to 43,560 sq ft (1 acre).",25.00,,90.00,
Abatement Items:City of Plano - Oversized Lot:Oversized Lot - Perimeters,"Mowing/Trimming of Perimeters of Property - Mowing, edging, and trimming up to but not to exceed 150 ft from curb, public right of way, street or adjacent property under different ownership priced on an hourly basis, pro-rated to the nearest half hour ...",25.00,,60.00,hour (hr)
Abatement Items:City of Plano - Oversized Lot:Oversized Lot - Vacant,"Oversized Lot - 21,780 sq ft (.50 acre) but less than 43,560 sq ft (1 acre) - VACANT WITHOUT a home, building, or other structure on the property. Mowing, edging, and trimming.",30.00,,95.00,
Abatement Items:City of Plano - Oversized Lot:Oversized Lot - Vacant (1 acre),"Oversized Lot - 43,560 sq ft (1 acre) or greater - VACANT WITHOUT a home, building, or other structure on the property. Mowing, edging, and trimming.",60.00,,125.00,Per Acre (Acre)
Abatement Items:City of Plano - Oversized Lot:Oversized Lot - W/Home (1 acre),"Oversized Lot - 43,560 sq ft (1 acre) or greater - WITH a home, building, or other structure on the property. Mowing, edging, and trimming.",60.00,,140.00,Per Acre (Acre)
Abatement Items:City of Plano - Oversized Lot:Oversized Lot - With Home,"Oversized Lot - 21,780 sq ft (.50 acre) but less than 43,560 sq ft (1 acre) - WITH a home, building, or other structure on the property. Mowing, edging, and trimming.",30.00,,115.00,
Abatement Items:City of Plano - Standard Lot,,0.00,,0.00,
Abatement Items:City of Plano - Standard Lot:Standard Lot - Alley Over 2,"Alley and/or Easement of Standard Lot - Mowing, edging and trimming of a standard lot alley or easement (Over 2 FT High)",60.00,,120.00,
Abatement Items:City of Plano - Standard Lot:Standard Lot - Alley/Easment,"Alley and/or Easement of Standard Lot - Mowing, edging and trimming of a standard lot alley or easement",25.00,,60.00,
Abatement Items:City of Plano - Standard Lot:Standard Lot - Home Over 2ft,OVER 2 FT HIGH,60.00,,150.00,
Abatement Items:City of Plano - Standard Lot:Standard Lot - Vacant,"Standard Lot - 21,780 sq ft (.50 acre) or less - VACANT WITHOUT a home, building, or other structure on the property. Mowing, edging, and trimming",30.00,,65.00,
Abatement Items:City of Plano - Standard Lot:Standard Lot - Vacant Over 2ft,OVER 2 FT HIGH,60.00,,130.00,
Abatement Items:City of Plano - Standard Lot:Standard Lot - With Home,"Standard Lot - 21,780 sq ft (.50 acre) or less - WITH a home, building, or other structure on the property. Mowing, edging, and trimming",30.00,,75.00,
Abatement Items:City of Plano - Trash Removal,,0.00,,0.00,
